buffers,clients,run,tps,latency_avg,latency_stddev
512MB,1,1,1108.214068,0.902,0.100
512MB,1,2,1124.647744,0.889,0.113
512MB,1,3,1124.555178,0.889,0.113
512MB,2,1,1797.743902,1.112,0.243
512MB,2,2,1723.729870,1.160,0.718
512MB,2,3,1695.170491,1.179,0.857
512MB,4,1,2554.155822,1.565,1.147
512MB,4,2,2552.301649,1.566,1.123
512MB,4,3,2506.743643,1.595,1.162
512MB,8,1,3582.436760,2.231,2.167
512MB,8,2,3537.509482,2.259,2.113
512MB,8,3,3249.316643,2.460,1.965
512MB,16,1,4390.892520,3.637,2.905
512MB,16,2,4506.574915,3.541,3.500
512MB,16,3,4353.184256,3.668,4.140
512MB,32,1,3841.065450,8.296,6.659
512MB,32,2,3874.512219,8.223,4.492
512MB,32,3,3692.493722,8.631,11.672
512MB,64,1,3634.155377,17.526,10.137
512MB,64,2,3653.474290,17.435,8.700
512MB,64,3,3620.375176,17.596,10.290
512MB,128,1,3438.862171,36.992,21.500
512MB,128,2,3466.764870,36.697,20.984
512MB,128,3,3364.196339,37.818,29.363
1GB,1,1,1108.051700,0.902,0.086
1GB,1,2,1125.557093,0.888,0.089
1GB,1,3,1134.136751,0.882,0.101
1GB,2,1,1812.171622,1.103,0.242
1GB,2,2,1747.967268,1.144,0.796
1GB,2,3,1731.012671,1.155,0.849
1GB,4,1,2577.811506,1.551,1.168
1GB,4,2,2582.770541,1.548,5.368
1GB,4,3,2741.971368,1.458,0.606
1GB,8,1,3829.595621,2.087,1.650
1GB,8,2,3328.317265,2.402,2.181
1GB,8,3,3392.303075,2.356,2.023
1GB,16,1,4311.941483,3.703,2.344
1GB,16,2,4144.094832,3.853,2.734
1GB,16,3,4234.003204,3.772,2.941
1GB,32,1,3824.834072,8.331,4.070
1GB,32,2,3882.197597,8.206,3.228
1GB,32,3,3827.377469,8.325,3.943
1GB,64,1,3682.960276,17.292,6.737
1GB,64,2,3685.730963,17.275,6.541
1GB,64,3,3651.762458,17.438,6.761
1GB,128,1,3468.274195,36.668,20.766
1GB,128,2,3472.211267,36.623,20.744
1GB,128,3,3467.725556,36.670,20.928
