buffers,clients,run,tps,latency_avg,latency_stddev
512MB,1,1,944.588565,1.058,0.158
512MB,1,2,1027.147738,0.973,0.120
512MB,1,3,1049.615356,0.953,0.138
512MB,2,1,1578.516271,1.267,1.037
512MB,2,2,1644.453500,1.216,0.788
512MB,2,3,1651.104541,1.211,0.819
512MB,4,1,2408.805247,1.660,1.325
512MB,4,2,2436.531515,1.641,1.128
512MB,4,3,2367.487544,1.689,1.149
512MB,8,1,3515.743175,2.274,1.796
512MB,8,2,3555.737837,2.248,2.312
512MB,8,3,3740.093390,2.137,2.411
512MB,16,1,4359.191091,3.664,4.009
512MB,16,2,4320.679160,3.697,4.440
512MB,16,3,4258.751910,3.751,11.089
512MB,32,1,3808.676374,8.369,2.146
512MB,32,2,3868.215233,8.240,1.914
512MB,32,3,3757.984592,8.481,3.764
512MB,64,1,3596.030782,17.716,6.442
512MB,64,2,3527.177514,18.063,6.457
512MB,64,3,3528.843726,18.056,6.475
512MB,128,1,3338.077303,38.120,21.420
512MB,128,2,3314.070634,38.391,21.185
512MB,128,3,3329.145460,38.213,21.355
1GB,1,1,1057.257932,0.946,0.094
1GB,1,2,1075.548377,0.930,0.105
1GB,1,3,1075.953887,0.929,0.124
1GB,2,1,1733.319475,1.153,0.238
1GB,2,2,1693.035686,1.181,0.700
1GB,2,3,1660.901294,1.204,1.057
1GB,4,1,2464.253013,1.622,1.165
1GB,4,2,2455.766991,1.628,1.157
1GB,4,3,2430.842305,1.645,1.068
1GB,8,1,3669.099642,2.179,1.613
1GB,8,2,3560.372776,2.245,1.810
1GB,8,3,3614.186714,2.212,2.036
1GB,16,1,4248.670925,3.759,2.309
1GB,16,2,4310.840464,3.705,2.866
1GB,16,3,4369.708207,3.655,3.829
1GB,32,1,3837.309354,8.304,2.978
1GB,32,2,3862.485604,8.248,2.658
1GB,32,3,3856.930638,8.262,2.578
1GB,64,1,3652.109155,17.443,6.109
1GB,64,2,3616.539567,17.614,6.933
1GB,64,3,3618.953300,17.603,6.828
1GB,128,1,3432.352015,37.059,20.471
1GB,128,2,3429.116399,37.092,20.670
1GB,128,3,3375.255626,37.684,21.281
