buffers,clients,run,tps,latency_avg,latency_stddev
512MB,1,1,1130.015011,0.885,0.111
512MB,1,2,1140.243177,0.877,0.124
512MB,1,3,1148.289233,0.871,0.120
512MB,2,1,1822.519936,1.097,0.207
512MB,2,2,1593.069822,1.255,0.716
512MB,2,3,1743.362052,1.147,0.719
512MB,4,1,2582.638249,1.548,1.022
512MB,4,2,2598.328543,1.539,0.855
512MB,4,3,2504.720039,1.596,1.092
512MB,8,1,3349.702713,2.386,1.817
512MB,8,2,3428.066991,2.331,1.765
512MB,8,3,3498.995224,2.284,1.760
512MB,16,1,4312.959528,3.703,2.063
512MB,16,2,4301.902291,3.712,2.209
512MB,16,3,4336.876632,3.682,2.064
512MB,32,1,3776.495490,8.439,5.128
512MB,32,2,3746.746965,8.508,6.141
512MB,32,3,3850.834030,8.276,2.207
512MB,64,1,3533.972544,18.033,11.780
512MB,64,2,3552.328682,17.940,8.337
512MB,64,3,3560.478149,17.900,6.852
512MB,128,1,3389.418220,37.567,21.210
512MB,128,2,3373.517391,37.746,21.505
512MB,128,3,3359.086800,37.906,24.262
1GB,1,1,1115.429206,0.896,0.135
1GB,1,2,1083.510674,0.923,0.841
1GB,1,3,1071.934695,0.933,1.918
1GB,2,1,1772.394114,1.128,0.713
1GB,2,2,1742.987271,1.147,1.916
1GB,2,3,1709.925522,1.169,1.849
1GB,4,1,2529.106982,1.581,2.085
1GB,4,2,2544.317287,1.571,1.307
1GB,4,3,2505.689939,1.596,1.822
1GB,8,1,3405.303301,2.347,2.036
1GB,8,2,3315.949358,2.410,2.173
1GB,8,3,3359.833504,2.379,2.514
1GB,16,1,4291.412845,3.721,2.217
1GB,16,2,3952.123617,4.041,2.514
1GB,16,3,4338.200698,3.681,2.614
1GB,32,1,3828.644259,8.323,3.640
1GB,32,2,3888.465582,8.196,2.518
1GB,32,3,3898.865345,8.174,2.434
1GB,64,1,3682.850518,17.300,6.796
1GB,64,2,3667.984624,17.372,8.304
1GB,64,3,3626.127085,17.571,7.379
1GB,128,1,3411.962054,37.312,21.483
1GB,128,2,3424.570053,37.169,21.029
1GB,128,3,3396.463469,37.479,21.063
