buffers,clients,run,tps,latency_avg,latency_stddev
512MB,1,1,1081.119046,0.925,0.105
512MB,1,2,1096.809150,0.912,0.112
512MB,1,3,1090.294484,0.917,0.119
512MB,2,1,1774.045641,1.127,0.182
512MB,2,2,1727.093321,1.158,0.553
512MB,2,3,1681.334838,1.189,0.793
512MB,4,1,2451.315593,1.631,1.386
512MB,4,2,2459.609324,1.626,1.237
512MB,4,3,2459.222167,1.626,1.066
512MB,8,1,3370.304027,2.372,1.905
512MB,8,2,3322.051803,2.406,2.128
512MB,8,3,3293.701325,2.427,2.080
512MB,16,1,4076.413478,3.918,2.488
512MB,16,2,4107.487470,3.888,2.962
512MB,16,3,4276.620664,3.735,3.503
512MB,32,1,3654.804566,8.721,6.837
512MB,32,2,3614.222035,8.819,4.778
512MB,32,3,3681.531034,8.657,4.026
512MB,64,1,3480.389603,18.311,7.260
512MB,64,2,3442.794839,18.511,7.868
512MB,64,3,3463.894266,18.398,8.163
512MB,128,1,3270.906544,38.927,22.974
512MB,128,2,3194.034982,39.874,26.469
512MB,128,3,3260.932431,39.047,23.973
1GB,1,1,1065.401878,0.938,0.173
1GB,1,2,1023.648041,0.977,1.032
1GB,1,3,1026.235593,0.974,2.280
1GB,2,1,1650.289854,1.212,1.504
1GB,2,2,1669.470535,1.198,0.872
1GB,2,3,1649.323989,1.212,1.650
1GB,4,1,2431.810165,1.644,1.513
1GB,4,2,2338.184615,1.710,6.078
1GB,4,3,2536.760906,1.576,0.364
1GB,8,1,3925.512511,2.037,0.456
1GB,8,2,3323.923884,2.405,1.974
1GB,8,3,3267.151897,2.447,2.098
1GB,16,1,4068.148255,3.926,1.817
1GB,16,2,4053.325362,3.939,1.727
1GB,16,3,3838.876354,4.160,2.409
1GB,32,1,3573.358839,8.918,2.658
1GB,32,2,3674.273151,8.672,2.044
1GB,32,3,3662.489487,8.700,2.146
1GB,64,1,3450.823345,18.462,6.579
1GB,64,2,3520.948194,18.094,6.266
1GB,64,3,3513.062339,18.136,6.437
1GB,128,1,3296.546200,38.604,21.628
1GB,128,2,3285.609251,38.739,21.511
1GB,128,3,3287.916553,38.710,21.642
