buffers,clients,run,tps,latency_avg,latency_stddev
512MB,1,1,1069.607240,0.935,0.175
512MB,1,2,1089.683925,0.918,0.236
512MB,1,3,1103.917168,0.906,0.147
512MB,2,1,1792.702926,1.115,0.264
512MB,2,2,1693.327824,1.181,0.735
512MB,2,3,1681.449134,1.189,0.817
512MB,4,1,2450.945668,1.631,1.332
512MB,4,2,2537.020107,1.576,1.042
512MB,4,3,2511.636950,1.592,1.139
512MB,8,1,3424.461617,2.334,1.822
512MB,8,2,3255.016203,2.455,1.956
512MB,8,3,3260.570295,2.451,1.909
512MB,16,1,3973.557699,4.019,2.878
512MB,16,2,4140.050826,3.857,3.412
512MB,16,3,3935.596117,4.057,4.106
512MB,32,1,3590.298408,8.874,3.910
512MB,32,2,3586.397522,8.883,4.252
512MB,32,3,3601.446198,8.844,3.933
512MB,64,1,3323.828986,19.161,8.908
512MB,64,2,3424.233887,18.605,13.033
512MB,64,3,3593.399909,17.734,14.397
512MB,128,1,3236.981347,39.283,24.039
512MB,128,2,2858.779872,44.450,45.948
512MB,128,3,1939.568866,65.422,38.392
1GB,1,1,740.255629,1.350,0.365
1GB,1,2,780.534890,1.281,0.241
1GB,1,3,823.930444,1.213,0.149
1GB,2,1,1186.691554,1.684,0.378
1GB,2,2,1225.062105,1.632,0.275
1GB,2,3,1217.732530,1.642,0.630
1GB,4,1,1620.547815,2.467,1.286
1GB,4,2,1633.971485,2.447,1.176
1GB,4,3,1630.667558,2.452,1.390
1GB,8,1,2193.807854,3.644,1.784
1GB,8,2,2217.167697,3.606,1.796
1GB,8,3,2199.468402,3.634,1.664
1GB,16,1,2049.253867,7.789,2.090
1GB,16,2,2044.510651,7.806,2.170
1GB,16,3,2050.193695,7.785,2.467
1GB,32,1,2069.778397,15.374,4.143
1GB,32,2,2047.980753,15.540,4.163
1GB,32,3,2060.115242,15.444,4.266
1GB,64,1,2082.677931,30.509,12.035
1GB,64,2,2087.342467,30.439,12.086
1GB,64,3,2088.945361,30.409,11.899
1GB,128,1,2013.991797,62.945,36.422
1GB,128,2,2087.722160,60.743,34.628
1GB,128,3,2081.142783,60.911,35.040
