buffers,clients,run,tps,latency_avg,latency_stddev
512MB,1,1,873.313477,1.145,0.187
512MB,1,2,803.288663,1.245,0.110
512MB,1,3,789.565521,1.266,0.126
512MB,2,1,1153.973483,1.732,0.240
512MB,2,2,1154.548876,1.731,0.305
512MB,2,3,1142.974442,1.749,0.733
512MB,4,1,1570.248773,2.546,1.177
512MB,4,2,1565.662262,2.553,1.236
512MB,4,3,1574.131655,2.540,1.247
512MB,8,1,2073.948324,3.855,1.762
512MB,8,2,2119.664616,3.771,1.792
512MB,8,3,2153.681230,3.712,1.837
512MB,16,1,2031.386532,7.857,2.534
512MB,16,2,1991.599489,8.015,2.515
512MB,16,3,1951.846818,8.177,2.474
512MB,32,1,1981.807281,16.060,4.357
512MB,32,2,1981.845882,16.060,4.344
512MB,32,3,1989.337855,15.998,4.171
512MB,64,1,1981.180918,32.091,12.800
512MB,64,2,1983.240240,32.045,12.719
512MB,64,3,2002.163136,31.739,12.562
512MB,128,1,1936.175931,65.493,36.899
512MB,128,2,1936.077179,65.507,37.689
512MB,128,3,1969.326720,64.424,36.750
1GB,1,1,795.304647,1.257,0.168
1GB,1,2,803.448403,1.244,0.778
1GB,1,3,798.901419,1.251,0.614
1GB,2,1,1165.061916,1.716,1.476
1GB,2,2,1285.485633,1.555,5.691
1GB,2,3,1110.364949,1.800,0.378
1GB,4,1,1646.950257,2.427,0.512
1GB,4,2,1600.288514,2.498,0.981
1GB,4,3,1573.611187,2.540,1.230
1GB,8,1,2074.323747,3.854,1.746
1GB,8,2,2095.476874,3.815,1.867
1GB,8,3,2115.946239,3.778,1.755
1GB,16,1,1985.302518,8.040,2.281
1GB,16,2,1979.940541,8.062,2.180
1GB,16,3,1971.026272,8.097,2.594
1GB,32,1,2001.240345,15.907,4.298
1GB,32,2,2002.549373,15.891,4.176
1GB,32,3,1996.945957,15.936,4.187
1GB,64,1,2002.861474,31.723,12.527
1GB,64,2,2011.455163,31.585,12.470
1GB,64,3,2021.440655,31.444,12.444
1GB,128,1,1955.959925,64.820,37.530
1GB,128,2,1959.291802,64.699,37.198
1GB,128,3,1942.158407,65.315,37.266
